,title,year,rating,director
161,Disque M para Matar,1954,8.1,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,O Segredo dos Seus Olhos,2009,8.1,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
163,A Ponte do Rio Kwai,1957,8.1,"David Lean (dir.), William Holden, Alec Guinness"
164,O Castelo Animado,2004,8.1,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,Três Anúncios para um Crime,2017,8.1,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
166,Trainspotting: Sem Limites,1996,8.1,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
167,Gran Torino,2008,8.1,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
168,Guerreiro,2011,8.1,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Fargo: Uma Comédia de Erros,1996,8.1,"Joel Coen (dir.), William H. Macy, Frances McDormand"
170,Meu Amigo Totoro,1988,8.1,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
171,Os Suspeitos,2013,8.1,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,Menina de Ouro,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
173,Em Busca do Ouro,1925,8.1,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
174,Blade Runner: O Caçador de Androides,1982,8.1,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
175,Prenda-me se for Capaz,2002,8.1,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
176,Sindicato de Ladrões,1954,8.1,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
177,O 3º Homem,1949,8.1,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
178,Filhos do Paraíso,1997,8.1,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
179,Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
180,A General,1926,8.1,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
181,12 Anos de Escravidão,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
182,Garota Exemplar,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
183,Morangos Silvestres,1957,8.1,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184,O Franco Atirador,1978,8.1,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
185,Antes do Amanhecer,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
186,Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
187,Em Nome do Pai,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
188,O Grande Hotel Budapeste,2014,8.1,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
189,A Mulher Faz o Homem,1939,8.1,"Frank Capra (dir.), James Stewart, Jean Arthur"
190,O Salário do Medo,1953,8.1,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
191,Bancando o Águia,1924,8.1,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
192,Barry Lyndon,1975,8.1,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
193,O Quarto de Jack,2015,8.1,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
